"SECONDS";"PID";"VALUE";"UNITS"
"20,5220641";"Motordrehzahl";"879";"rpm"
"20,5358658";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"20,5684331";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"20,794044";"Geschwindigkeit";"0";"km/h"
"20,7975738";"Fahrzeugbeschleunigung";"0";"m_sec2"
"20,7987338";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"21,0624375";"Kühlmitteltemperatur";"60";"℃"
"21,2984462";"Motordrehzahl";"878";"rpm"
"21,2990004";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"21,3016342";"verbrauchte Spritmenge";"0";"l"
"21,3017935";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"21,3084193";"verbrauchte Spritmenge (gesamt)";"0";"l"
"21,309376";"Treibstoffkosten";"0";"€"
"21,3260732";"Treibstoffkosten (gesamt)";"0";"€"
"21,528369";"Geschwindigkeit";"0";"km/h"
"21,5290005";"zurückgelegte Strecke";"0";"km"
"21,5295457";"Fahrzeugbeschleunigung";"0";"m_sec2"
"21,5302185";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"21,5316959";"zurückgelegte Strecke (gesamt)";"0";"km"
"21,7672247";"Kühlmitteltemperatur";"60";"℃"
"22,0688603";"Motordrehzahl";"870";"rpm"
"22,0694931";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"22,0714649";"verbrauchte Spritmenge";"0";"l"
"22,0716386";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"22,0730849";"verbrauchte Spritmenge (gesamt)";"0";"l"
"22,0732183";"Treibstoffkosten";"0";"€"
"22,0827838";"Treibstoffkosten (gesamt)";"0";"€"
"22,3156193";"Geschwindigkeit";"0";"km/h"
"22,3164707";"zurückgelegte Strecke";"0";"km"
"22,3166376";"Fahrzeugbeschleunigung";"0";"m_sec2"
"22,317538";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"22,3189708";"Durchschnittsgeschwindigkeit";"0";"km/h"
"22,3193783";"zurückgelegte Strecke (gesamt)";"0";"km"
"22,5605436";"Kühlmitteltemperatur";"60";"℃"
"22,7995567";"Motordrehzahl";"877";"rpm"
"22,8002687";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"22,8009557";"verbrauchte Spritmenge";"0";"l"
"22,8010273";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"22,8063464";"verbrauchte Spritmenge (gesamt)";"0";"l"
"22,8064183";"Treibstoffkosten";"0";"€"
"22,8068001";"Treibstoffkosten (gesamt)";"0";"€"
"23,047012";"Geschwindigkeit";"0";"km/h"
"23,0492322";"zurückgelegte Strecke";"0";"km"
"23,0494288";"Fahrzeugbeschleunigung";"0";"m_sec2"
"23,0523437";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"23,0529026";"Durchschnittsgeschwindigkeit";"0";"km/h"
"23,0530671";"zurückgelegte Strecke (gesamt)";"0";"km"
"24,0336882";"Kühlmitteltemperatur";"60";"℃"
"24,2951271";"Motordrehzahl";"878";"rpm"
"24,2963165";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"24,2991746";"verbrauchte Spritmenge";"0";"l"
"24,2995107";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"24,3035083";"verbrauchte Spritmenge (gesamt)";"0";"l"
"24,3038141";"Treibstoffkosten";"0";"€"
"24,3142165";"Treibstoffkosten (gesamt)";"0";"€"
"24,5406582";"Geschwindigkeit";"0";"km/h"
"24,5420922";"zurückgelegte Strecke";"0";"km"
"24,5427456";"Fahrzeugbeschleunigung";"0";"m_sec2"
"24,5450262";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"24,5454673";"Durchschnittsgeschwindigkeit";"0";"km/h"
"24,5457694";"zurückgelegte Strecke (gesamt)";"0";"km"
"24,7740092";"Kühlmitteltemperatur";"60";"℃"
"25,009744";"Motordrehzahl";"871";"rpm"
"25,0108901";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"25,0139356";"verbrauchte Spritmenge";"0";"l"
"25,0142517";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"25,0201405";"verbrauchte Spritmenge (gesamt)";"0";"l"
"25,0204504";"Treibstoffkosten";"0";"€"
"25,0372862";"Treibstoffkosten (gesamt)";"0";"€"
"25,2811967";"Geschwindigkeit";"0";"km/h"
"25,2817075";"zurückgelegte Strecke";"0";"km"
"25,2817923";"Fahrzeugbeschleunigung";"0";"m_sec2"
"25,2826173";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"25,2827712";"Durchschnittsgeschwindigkeit";"0";"km/h"
"25,2828669";"zurückgelegte Strecke (gesamt)";"0";"km"
"25,5192853";"Kühlmitteltemperatur";"60";"℃"
"25,7625399";"Motordrehzahl";"870";"rpm"
"25,7630168";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"25,7642787";"verbrauchte Spritmenge";"0";"l"
"25,7643577";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"25,7652671";"verbrauchte Spritmenge (gesamt)";"0";"l"
"25,7653394";"Treibstoffkosten";"0";"€"
"25,7794575";"Treibstoffkosten (gesamt)";"0";"€"
"25,9823524";"Geschwindigkeit";"0";"km/h"
"25,9830361";"zurückgelegte Strecke";"0";"km"
"25,9832031";"Fahrzeugbeschleunigung";"0";"m_sec2"
"25,9841016";"Berechneter momentaner Verbrauch km/l.";"0";"km/l."
"25,9842955";"Durchschnittsgeschwindigkeit";"0";"km/h"
"25,9844295";"zurückgelegte Strecke (gesamt)";"0";"km"
"26,2200479";"Kühlmitteltemperatur";"60";"℃"
"26,4575861";"Motordrehzahl";"880";"rpm"
"26,4583328";"Berechneter Kraftstoffmengenfluss";"0";"l/h"
"26,4595599";"verbrauchte Spritmenge";"0";"l"
"26,4596917";"Sofortige Motorleistung (basierend auf dem Kraftstoffverbrauch)";"0";"hp"
"26,461553";"verbrauchte Spritmenge (gesamt)";"0";"l"
"26,4616803";"Treibstoffkosten";"0";"€"
"26,4725116";"Treibstoffkosten (gesamt)";"0";"€"
